"cats","could"
"could","n't"
"n't","read"
"read","maps"
"maps","or"
"or","signs"
"signs","mr."
"mr.","dursley"
"dursley","gave"
"gave","himself"
"himself","a"
"a","little"
"little","shake"
"shake","and"
"and","put"
"put","the"
"the","cat"
"cat","out"
"out","of"
"of","his"
"his","mind"
"mind","as"
"as","he"
"he","drove"
"drove","toward"
"toward","town"
"town","he"
"he","thought"
"thought","of"
"of","nothing"
"nothing","except"
"except","a"
"a","large"
"large","order"
"order","of"
"of","drills"
"drills","he"
"he","was"
"was","hoping"
"hoping","to"
"to","get"
"get","that"
"that","day"
"day","but"
"but","on"
"on","the"
"the","edge"
"edge","of"
"of","town"
"town","drills"
"drills","were"
"were","driven"
"driven","out"
"out","of"
"of","his"
"his","mind"
"mind","by"
"by","something"
"something","else"
"else","as"
"as","he"
"he","sat"
"sat","in"
"in","the"
"the","usual"
"usual","morning"
"morning","traffic"
"traffic","jam"
"jam","he"
"he","could"
"could","n't"
"n't","help"
"help","noticing"
"noticing","that"
"that","there"
"there","seemed"
"seemed","to"
"to","be"
"be","a"
"a","lot"
"lot","of"
"of","strangely"
"strangely","dressed"
"dressed","people"
"people","about"
"about","people"
"people","in"
"in","cloaks"
"cloaks","mr."
"mr.","dursley"
"dursley","could"
"could","n't"
"n't","bear"
"bear","people"
"people","who"
"who","dressed"
"dressed","in"
"in","funny"
"funny","clothes"
"clothes","the"
"the","getups"
"getups","you"
"you","saw"
"saw","on"
"on","young"
"young","people"
"people","he"
"he","supposed"
"supposed","this"
"this","was"
"was","some"
"some","stupid"
"stupid","new"
"new","fashion"
"fashion","he"
"he","drummed"
"drummed","his"
"his","fingers"
"fingers","on"
"on","the"
"the","steering"
"steering","wheel"
"wheel","and"
"and","his"
"his","eyes"
"eyes","fell"
"fell","on"
"on","a"
"a","huddle"
"huddle","of"
"of","these"
"these","weirdos"
"weirdos","standing"
"standing","quite"
"quite","close"
"close","by"
"by","they"
"they","were"
"were","whispering"
"whispering","excitedly"
"excitedly","together"
"together","mr."
"mr.","dursley"
"dursley","was"
"was","enraged"
"enraged","to"
"to","see"
"see","that"
"that","a"
"a","couple"
"couple","of"
"of","them"
"them","were"
"were","n't"
"n't","young"
"young","at"
"at","all"
"all","why"
"why","that"
"that","man"
"man","had"
"had","to"
"to","be"
"be","older"
"older","than"
"than","he"
"he","was"
"was","and"
"and","wearing"
"wearing","an"
"an","emerald-green"
"emerald-green","cloak"
"cloak","the"
"the","nerve"
"nerve","of"
"of","him"
"him","but"
"but","then"
"then","it"
"it","struck"
"struck","mr."
"mr.","dursley"
"dursley","that"
"that","this"
"this","was"
"was","probably"
"probably","some"
"some","silly"
"silly","stunt"
"stunt","these"
"these","people"
"people","were"
"were","obviously"
"obviously","collecting"
"collecting","for"
"for","something"
"something","yes"
"yes","that"
"that","would"
"would","be"
"be","it"
"it","the"
"the","traffic"
"traffic","moved"
"moved","on"
"on","and"
"and","a"
"a","few"
"few","minutes"
"minutes","later"
"later","mr."
"mr.","dursley"
"dursley","arrived"
"arrived","in"
"in","the"
"the","grunnings"
"grunnings","parking"
"parking","lot"
"lot","his"
"his","mind"
"mind","back"
"back","on"
"on","drills"
"drills","mr."
"mr.","dursley"
"dursley","always"
"always","sat"
"sat","with"
"with","his"
"his","back"
"back","to"
"to","the"
"the","window"
"window","in"
"in","his"
"his","office"
"office","on"
"on","the"
"the","ninth"
"ninth","floor"
"floor","if"
"if","he"
"he","had"
"had","n't"
"n't","he"
"he","might"
"might","have"
"have","found"
"found","it"
"it","harder"
"harder","to"
"to","concentrate"
"concentrate","on"
"on","drills"
"drills","that"
"that","morning"
"morning","he"
"he","did"
"did","n't"
"n't","see"
"see","the"
"the","owls"
